180 1,0,0,0,0,0,0,0,0,0,0,32,0
181 1,0,0,0,0,0,0,0,0,0,1,32,0
182 1,0,0,0,0,0,0,0,0,0,1,32,0
183 3,0,0,0,1,0,0,0,0,0,0,32,0
184 1,0,0,0,0,0,0,0,0,0,0,32,0
185 1,0,0,0,0,0,0,0,0,0,1,32,0
186 1,0,0,0,0,0,0,0,0,0,1,32,0
187 3,0,0,0,1,0,0,0,0,0,0,32,0
188 1,0,0,0,0,0,0,0,0,0,0,32,0
189 1,0,0,0,0,0,0,0,0,0,1,32,0
190 1,0,0,0,0,0,0,0,0,0,1,32,0
191 3,0,0,0,1,0,0,0,0,0,0,32,0
192 1,0,0,0,0,0,0,0,0,0,0,32,0
193 1,0,0,0,0,0,0,0,0,0,1,32,0
194 1,0,0,0,0,0,0,0,0,0,1,32,0
195 3,0,0,0,1,0,0,0,0,0,0,32,0
196 1,0,0,0,0,0,0,0,0,0,0,32,0
197 2,1,0,0,0,0,0,0,0,0,0,32,0
198 2,0,0,0,0,1,0,0,0,0,0,32,0
199 1,0,0,0,0,0,0,0,0,0,0,1,0
